N,t,CD_mse,DS_mse,GPA_CD_mse,GPA_DS_mse,CD_time,DS_time,GPA_CD_time,GPA_DS_time
100,35,0.12661354064941407,0.01842819690704346,0.12613325119018554,0.018444844484329224,0.20736189365386962,0.20858248949050903,0.0007234692573547363,0.0006806063652038574
100,36,0.13801223754882813,0.02059520959854126,0.13733906745910646,0.020460216999053954,0.2067933464050293,0.20799358129501344,0.0007193803787231446,0.0006782054901123047
100,37,0.13507818222045898,0.020739953517913818,0.13438058853149415,0.020686936378479005,0.20708680391311646,0.20828415870666503,0.0007190537452697754,0.0006782817840576172
100,38,0.13165198326110839,0.01969196319580078,0.13106294631958007,0.0196257746219635,0.20679444789886475,0.20800258874893188,0.0007233357429504394,0.0006800675392150879
100,39,0.12815160751342775,0.019081774950027466,0.12746331214904785,0.01883384108543396,0.2078541660308838,0.2090574622154236,0.0007230257987976075,0.0006789159774780273
100,40,0.14003654479980468,0.021032347679138183,0.13914575576782226,0.020582120418548584,0.20624933242797852,0.20745203256607056,0.0007212138175964355,0.0006793761253356934
100,41,0.13924756050109863,0.020604705810546874,0.13857827186584473,0.02054229974746704,0.206414053440094,0.20763028621673585,0.0007241153717041015,0.0006820368766784668
100,42,0.13477643966674804,0.01993989109992981,0.13416614532470703,0.01974416136741638,0.20680455207824708,0.20800114393234254,0.0007193088531494141,0.000680549144744873
100,43,0.14204082489013672,0.02061634063720703,0.1411764430999756,0.020289032459259032,0.20657438039779663,0.20777387857437135,0.0007241511344909668,0.0006800508499145508
100,44,0.1386452865600586,0.02044032335281372,0.13791246414184571,0.020149660110473634,0.20740845441818237,0.20860406160354614,0.0007210230827331543,0.0006797170639038086
100,45,0.14095165252685546,0.021065993309020994,0.14022156715393067,0.020953855514526366,0.2076551127433777,0.20887685298919678,0.0007233691215515137,0.0006798315048217774
100,46,0.13264053344726562,0.019656782150268556,0.13209910392761232,0.01971724271774292,0.20747676134109497,0.20868462562561035,0.0007231450080871582,0.0006806516647338867
100,47,0.13724611282348634,0.021065475940704344,0.1364993381500244,0.020858194828033447,0.20846207618713378,0.2096783709526062,0.000727691650390625,0.0006855797767639161
100,48,0.14137399673461915,0.02178818941116333,0.14068567276000976,0.021796841621398926,0.20702805280685424,0.20823392391204834,0.0007238006591796875,0.0006785798072814942
100,49,0.12314501762390137,0.019956682920455934,0.12229044914245606,0.01950282096862793,0.20735082864761353,0.20854994058609008,0.000722506046295166,0.0006809091567993164
100,50,0.14328863143920897,0.02144678831100464,0.14267239570617676,0.021387696266174316,0.20920861959457399,0.21041472911834716,0.0007251429557800292,0.00068206787109375
100,51,0.12387113571166992,0.018761558532714842,0.1232688331604004,0.01856560230255127,0.20788492441177367,0.2090941262245178,0.0007237672805786132,0.0006787228584289551
100,52,0.14628815650939941,0.021246078014373778,0.1455685615539551,0.021123104095458985,0.20899321317672728,0.21020503759384154,0.0007226777076721192,0.0006803297996520997
100,53,0.1337881851196289,0.018874516487121584,0.13315743446350098,0.018892232179641723,0.2076577615737915,0.20886337757110596,0.0007238221168518066,0.000678253173828125
100,54,0.13590558052062987,0.02009709119796753,0.1353594970703125,0.020250475406646727,0.20733124017715454,0.20853175163269044,0.0007201695442199707,0.0006813859939575195
100,55,0.1433353328704834,0.020850346088409424,0.14285873413085937,0.020851223468780516,0.20858028888702393,0.20978893280029298,0.0007244729995727539,0.0006787919998168945
100,56,0.13426313400268555,0.019977743625640868,0.13361044883728027,0.019825764894485474,0.20863712310791016,0.20985401153564454,0.0007256054878234863,0.0006820392608642578
100,57,0.13080525398254395,0.020441799163818358,0.13011669158935546,0.02033193826675415,0.20732722282409669,0.20852320432662963,0.0007219076156616211,0.0006788015365600586
100,58,0.133301477432251,0.0199075710773468,0.1325998306274414,0.0197603440284729,0.21296547412872313,0.21416993379592897,0.0007223987579345703,0.0006784582138061523
100,59,0.14153542518615722,0.020663356781005858,0.1407962131500244,0.02043966770172119,0.2074785304069519,0.2087967252731323,0.0007384586334228516,0.0006870198249816895
100,60,0.13335750579833985,0.019193867444992064,0.13271409034729004,0.019144264459609987,0.20868497848510742,0.2099253749847412,0.0007293081283569336,0.0006807303428649902
100,61,0.14498868942260743,0.020231766700744627,0.14451982498168944,0.020230743885040283,0.20749420404434205,0.20870963335037232,0.0007247734069824219,0.0006801819801330566
100,62,0.14336090087890624,0.021583898067474364,0.1423082447052002,0.021340246200561522,0.20863099813461303,0.20985708951950074,0.0007256388664245606,0.0006809043884277344
100,63,0.119639892578125,0.018233652114868163,0.11882826805114746,0.017971391677856444,0.20629820823669434,0.2075002074241638,0.0007212400436401367,0.0006796336174011231
100,64,0.13738283157348632,0.01972047209739685,0.1367448616027832,0.019495019912719725,0.20883311510086058,0.21004942893981934,0.0007237005233764649,0.0006821727752685546
100,65,0.13433856010437012,0.020136008262634276,0.13359256744384765,0.0200207781791687,0.20908186435699463,0.21029159784317017,0.0007255911827087402,0.0006810832023620606
100,66,0.14680302619934082,0.02121908187866211,0.14613718986511232,0.021226139068603517,0.20914121389389037,0.21035614490509033,0.0007272696495056152,0.0006822061538696289
100,67,0.13982650756835938,0.01996181607246399,0.13927978515625,0.019861961603164672,0.20736705541610717,0.20856345415115357,0.0007214283943176269,0.0006791496276855469
100,68,0.14324692726135255,0.021155617237091064,0.14254290580749512,0.02110922336578369,0.2069636654853821,0.2081685209274292,0.0007227540016174316,0.0006807398796081543
100,69,0.131323184967041,0.02052654027938843,0.1306288719177246,0.02010535717010498,0.20781320095062256,0.2090157961845398,0.000721447467803955,0.0006791305541992188
100,70,0.13680171966552734,0.019687026739120483,0.13626811027526856,0.019655003547668456,0.20813917398452758,0.20935383319854736,0.000725719928741455,0.0006797099113464355
100,71,0.1222252082824707,0.01847048044204712,0.12167119026184083,0.01849764823913574,0.2097031807899475,0.21091703653335572,0.000727376937866211,0.0006810808181762695
100,72,0.13968826293945313,0.019495644569396973,0.1390056324005127,0.019461976289749147,0.20796160221099855,0.2091691541671753,0.0007221007347106934,0.0006806421279907227
100,73,0.1352755069732666,0.020038540363311767,0.13470298767089844,0.020032367706298827,0.2071324110031128,0.2083326506614685,0.0007223629951477051,0.0006781816482543945
100,74,0.1303490161895752,0.0191131854057312,0.1297569179534912,0.019003821611404417,0.20759482860565184,0.2088052248954773,0.0007255458831787109,0.0006818675994873047
100,75,0.12829748153686524,0.019603326320648193,0.1275658702850342,0.01935431718826294,0.20827799797058105,0.20948750019073487,0.0007223987579345703,0.0006775212287902832
100,76,0.14728102684020997,0.021866698265075684,0.14651015281677246,0.02165827751159668,0.20807453155517577,0.2092970085144043,0.0007258105278015137,0.0006823468208312988
100,77,0.13090075492858888,0.01864800214767456,0.13022322654724122,0.018522920608520507,0.20919511795043946,0.21040868043899535,0.0007262182235717773,0.0006820273399353028
100,78,0.12961484909057616,0.01893730640411377,0.1289710807800293,0.01873960018157959,0.20905067920684814,0.21026322841644288,0.0007269644737243653,0.0006823348999023438
100,79,0.13325737953186034,0.020142643451690673,0.13273655891418457,0.020127525329589845,0.20883455514907837,0.21004508018493653,0.000723412036895752,0.0006807780265808105
100,80,0.1384989070892334,0.019508767127990722,0.13790721893310548,0.01946087956428528,0.2089621353149414,0.21016959190368653,0.0007275795936584473,0.0006825900077819824
100,81,0.13189366340637207,0.02014302968978882,0.13134848594665527,0.020170676708221435,0.20794786453247072,0.20914481163024903,0.0007212686538696289,0.0006780552864074707
100,82,0.13521504402160645,0.020649590492248536,0.1344454574584961,0.020531764030456544,0.20876890182495117,0.20997066020965577,0.0007233309745788574,0.0006804227828979492
100,83,0.1251993465423584,0.018026597499847412,0.12467103958129883,0.01802482843399048,0.20887814283370973,0.21009165287017822,0.0007258033752441406,0.0006831002235412598
100,84,0.1318389892578125,0.019625555276870727,0.13086722373962403,0.019374644756317137,0.20408976554870606,0.20531974315643312,0.0007338786125183106,0.000683889389038086
100,85,0.14384387969970702,0.021154627799987794,0.14307936668395996,0.02100040912628174,0.21038511514663696,0.2116689443588257,0.0007343387603759766,0.0006867074966430665
100,86,0.13797449111938476,0.020183467864990236,0.13731120109558106,0.020165884494781496,0.21162633180618287,0.21291974544525147,0.0007366275787353515,0.0006877779960632324
100,87,0.14455166816711426,0.020209410190582276,0.1439511775970459,0.020185062885284422,0.20008060455322266,0.20130744695663452,0.0007258582115173339,0.0006836438179016113
100,88,0.12647629737854005,0.019313127994537355,0.1258110809326172,0.01913864254951477,0.20589272260665895,0.20714166164398193,0.0007302975654602051,0.0006841325759887695
100,89,0.1438858413696289,0.021939845085144044,0.14327451705932617,0.021949448585510255,0.1842663073539734,0.18542027235031128,0.0007223272323608398,0.0006788849830627441
100,90,0.1359488010406494,0.020099995136260988,0.1351624870300293,0.019854943752288818,0.1841209864616394,0.18527683973312378,0.0007212448120117187,0.0006806612014770508
100,91,0.13006120681762695,0.018491829633712768,0.12940305709838867,0.018411774635314942,0.20334021806716918,0.20454250335693358,0.0007268929481506348,0.0006815457344055176
100,92,0.14586044311523438,0.0214517879486084,0.14517777442932128,0.021393072605133057,0.2062212347984314,0.207460355758667,0.0007290506362915039,0.0006848359107971191
100,93,0.13647894859313964,0.020392229557037355,0.13585541725158692,0.02026686429977417,0.1842108178138733,0.18536524057388307,0.0007227540016174316,0.0006807661056518555
100,94,0.1479453945159912,0.020919742584228514,0.1472635841369629,0.020826654434204103,0.18453476905822755,0.18569229364395143,0.0007192087173461914,0.000678567886352539
100,95,0.13574110031127928,0.020443496704101564,0.13473923683166503,0.020162262916564942,0.2033285140991211,0.2045707130432129,0.0007293438911437989,0.0006844401359558105
100,96,0.12940253257751466,0.01896484851837158,0.12891209602355957,0.0189873468875885,0.20355450868606567,0.2047862696647644,0.0007290816307067871,0.0006853199005126953
100,97,0.13342963218688964,0.02004909038543701,0.13276687622070313,0.01975474715232849,0.21239617109298706,0.21367700576782225,0.000731499195098877,0.0006852388381958008
100,98,0.1402867317199707,0.02055805444717407,0.1397882080078125,0.020616095066070556,0.20384597778320312,0.20505461931228638,0.0007267427444458007,0.0006849169731140137
100,99,0.1414962100982666,0.020441248416900634,0.14105334281921386,0.020420782566070557,0.21179759740829468,0.2130805730819702,0.0007361817359924316,0.0006835150718688965
500,0,0.03442192792892456,0.008295103311538696,0.03438955307006836,0.008329474329948426,0.7919478368759155,0.7930370593070983,0.000657029151916504,0.00054671049118042
500,1,0.0364624285697937,0.009489079117774963,0.03658952236175537,0.00974147617816925,0.846168155670166,0.8473260068893432,0.0006324505805969238,0.0005873322486877441
500,2,0.03682748556137085,0.009845726490020752,0.036360011100769044,0.00941137969493866,0.9287026762962342,0.9299576783180237,0.0006807208061218262,0.0006311249732971192
500,3,0.035180125236511234,0.009610077738761902,0.034938337802886965,0.009421737790107727,0.9284765982627868,0.9297534537315368,0.0007076740264892578,0.0006599903106689453
